lID,uID,loID,time,command
318,71,0,2019-09-01 01:53:27,Login by uID=71
320,45,0,2019-09-01 21:56:50,Login by uID=45
324,47,0,2019-09-02 00:28:57,Login by uID=47
327,67,0,2019-09-02 13:25:36,Login by uID=67
328,50,0,2019-09-02 13:34:31,Login by uID=50
329,40,0,2019-09-02 13:47:50,Login by uID=40
330,40,0,2019-09-02 13:48:21,Login by uID=40
331,75,0,2019-09-02 14:57:30,"INSERT INTO users (fullname, studentID, username, password, type, university, major) VALUES Abby Aymond,0999488,abbya,$2y$10$PUOaVYFjFi6EeVX4ucmiMetGXTxIyZBFt1cvVtW20INvgK4prE7.i,student,UND,Biomedical Engineering"
332,75,0,2019-09-02 13:57:46,Login by uID=75
333,40,0,2019-09-02 14:04:55,Login by uID=40
334,54,0,2019-09-02 14:45:49,Login by uID=54
338,52,0,2019-09-02 20:04:16,Login by uID=52
340,77,0,2019-09-02 23:18:59,"INSERT INTO users (fullname, studentID, username, password, type, university, major) VALUES Parshuram Narayan Aarotale,1234645,parshuram.aarotale,$2y$10$eINJLhOv1g2rd/3qTwAdC.7iW0pBSb7TNcx2zwtvt/mcEdXjcZZxu,student,UND,Electrical Engineering"
341,77,0,2019-09-02 22:19:15,Login by uID=77
342,78,0,2019-09-03 00:46:09,"INSERT INTO users (fullname, studentID, username, password, type, university, major) VALUES Rabie Fadil,8006943,rabiefadil,$2y$10$glEsz90I3tRWiyoxMV0RN.Hf1VTdC6XzkM4AwSOG4o/7mScpswUYS,student,UND,BME"
343,78,0,2019-09-02 23:46:19,Login by uID=78
344,56,0,2019-09-03 07:45:31,Login by uID=56
345,56,0,2019-09-03 07:47:37,Login by uID=56
346,58,0,2019-09-03 09:06:26,Login by uID=58
348,40,0,2019-09-03 09:30:16,Login by uID=40
357,71,0,2019-09-03 12:23:51,Login by uID=71
358,51,0,2019-09-03 12:26:27,Login by uID=51
359,51,0,2019-09-03 12:26:49,Login by uID=51
360,52,0,2019-09-03 12:30:52,Login by uID=52
361,43,0,2019-09-03 12:30:58,Login by uID=43
362,43,0,2019-09-03 12:31:19,Login by uID=43
363,40,0,2019-09-03 12:32:44,Login by uID=40
364,42,0,2019-09-03 12:33:11,Login by uID=42
367,56,0,2019-09-03 12:36:17,Login by uID=56
368,40,0,2019-09-03 12:37:12,Login by uID=40
369,54,0,2019-09-03 12:38:31,Login by uID=54
370,47,0,2019-09-03 12:39:00,Login by uID=47
374,56,0,2019-09-03 12:46:56,Login by uID=56
379,66,0,2019-09-03 13:37:59,Login by uID=66
389,43,0,2019-09-03 15:31:52,Login by uID=43
391,40,0,2019-09-03 19:34:34,Login by uID=40
392,59,0,2019-09-03 21:13:12,Login by uID=59
394,71,0,2019-09-04 09:07:19,Login by uID=71
395,67,0,2019-09-04 09:41:46,Login by uID=67
396,43,0,2019-09-04 10:38:31,Login by uID=43
397,56,0,2019-09-04 12:16:20,Login by uID=56
398,56,0,2019-09-04 12:16:31,Login by uID=56
407,40,0,2019-09-04 13:45:28,Login by uID=40
408,40,0,2019-09-04 13:45:33,Login by uID=40
412,52,0,2019-09-04 17:15:50,Login by uID=52
413,59,0,2019-09-04 18:50:52,Login by uID=59
416,78,0,2019-09-04 20:55:15,Login by uID=78
417,54,0,2019-09-04 21:50:48,Login by uID=54
421,47,0,2019-09-05 00:55:07,Login by uID=47
422,47,0,2019-09-05 00:55:22,Login by uID=47
423,58,0,2019-09-05 06:53:50,Login by uID=58
424,58,0,2019-09-05 06:54:52,Login by uID=58
425,56,0,2019-09-05 08:14:14,Login by uID=56
427,45,0,2019-09-05 09:24:53,Login by uID=45
428,45,0,2019-09-05 09:25:04,Login by uID=45
429,71,0,2019-09-05 09:39:01,Login by uID=71
430,71,92,2019-09-05 10:50:00,"INSERT INTO Deliverables (loID, Title, Type, Completion, ExpectedCompletion) VALUES92,Project Plan,Awards,Not Started,Q2 WHERE dID=62"
431,77,0,2019-09-05 09:52:31,Login by uID=77
432,71,97,2019-09-05 10:53:06,"INSERT INTO LearningObjectives (uID, Title, Code, Blooms1, Blooms2, Notes, Description) VALUES 71,Project Plan,ES4,Analyze,Procedural,Discuss functional requirements, relevant FOAs, division of labor, and todo lists / milestones of the project.,Create a project plan for the end of semester paper, presentation, or application."
433,71,97,2019-09-05 10:53:40,"INSERT INTO Deliverables (loID, Title, Type, Completion, ExpectedCompletion) VALUES97,Project Plan Draft 1,Business pitches,In progress,Q2 WHERE dID=63"
434,78,0,2019-09-05 10:18:45,Login by uID=78
435,77,0,2019-09-05 10:32:14,Logout by uID=77
436,58,0,2019-09-05 11:43:29,Login by uID=58
437,56,0,2019-09-05 11:59:47,Login by uID=56
438,54,0,2019-09-05 12:27:08,Login by uID=54
442,54,0,2019-09-05 12:32:20,Login by uID=54
443,40,0,2019-09-05 12:51:22,Login by uID=40
444,40,0,2019-09-05 12:51:30,Login by uID=40
445,47,0,2019-09-05 13:30:12,Login by uID=47
448,42,0,2019-09-05 13:31:03,Login by uID=42
449,62,0,2019-09-05 13:31:22,Login by uID=62
452,62,0,2019-09-05 13:31:51,Login by uID=62
454,82,0,2019-09-05 14:33:53,"INSERT INTO users (fullname, studentID, username, password, type, university, major) VALUES Zachary Dathe,0989316,zachdathe,$2y$10$VVbkCLjJwOFIQ7LdEyzLOeLkjJBFgrsKkkc3FXiKMvR/7DEnlrRy2,student,NDSU,Electrical Engineering"
456,82,0,2019-09-05 13:34:01,Login by uID=82
459,82,0,2019-09-05 13:37:39,Login by uID=82
460,47,0,2019-09-05 13:37:54,Login by uID=47
464,42,0,2019-09-05 14:40:12,Login by uID=42
469,77,0,2019-09-05 15:17:21,Login by uID=77
470,54,0,2019-09-05 15:32:38,Login by uID=54
471,67,0,2019-09-05 15:35:19,Login by uID=67
483,64,0,2019-09-05 22:17:49,Login by uID=64
487,71,0,2019-09-06 11:52:47,Login by uID=71
489,40,0,2019-09-06 13:59:32,Login by uID=40
490,40,0,2019-09-06 13:59:48,Login by uID=40
491,62,0,2019-09-06 15:30:58,Login by uID=62
492,62,0,2019-09-06 15:31:38,Login by uID=62
493,40,0,2019-09-06 16:02:26,Logout by uID=40
494,78,0,2019-09-06 16:19:14,Login by uID=78
497,58,0,2019-09-07 08:44:40,Login by uID=58
498,58,0,2019-09-07 08:47:08,Login by uID=58
499,58,0,2019-09-07 08:48:43,Login by uID=58
500,64,0,2019-09-07 10:11:08,Login by uID=64
501,58,0,2019-09-07 14:16:55,Login by uID=58
506,45,0,2019-09-08 21:28:51,Login by uID=45
507,45,0,2019-09-08 21:29:01,Login by uID=45
511,56,0,2019-09-09 09:18:32,Login by uID=56
512,54,0,2019-09-09 10:26:25,Login by uID=54
526,40,0,2019-09-09 21:43:49,Login by uID=40
527,40,0,2019-09-09 21:44:01,Login by uID=40
528,40,0,2019-09-09 21:47:58,Logout by uID=40
529,40,0,2019-09-10 05:17:00,Login by uID=40
530,68,0,2019-09-10 05:51:35,Login by uID=68
531,68,0,2019-09-10 05:53:53,Login by uID=68
532,45,0,2019-09-10 07:28:53,Login by uID=45
533,45,0,2019-09-10 07:29:12,Login by uID=45
535,43,0,2019-09-10 09:57:23,Login by uID=43
537,77,0,2019-09-10 10:35:28,Login by uID=77
539,54,0,2019-09-10 10:40:36,Login by uID=54
540,54,0,2019-09-10 10:40:41,Login by uID=54
542,56,0,2019-09-10 12:23:24,Login by uID=56
543,45,0,2019-09-10 12:27:45,Login by uID=45
544,45,0,2019-09-10 12:27:57,Login by uID=45
545,42,0,2019-09-10 12:29:14,Login by uID=42
548,56,0,2019-09-10 12:30:27,Login by uID=56
549,58,0,2019-09-10 12:32:59,Login by uID=58
550,40,0,2019-09-10 12:36:33,Login by uID=40
559,82,0,2019-09-10 13:24:50,Login by uID=82
560,82,0,2019-09-10 13:25:22,Login by uID=82
561,66,0,2019-09-10 13:26:04,Login by uID=66
563,71,0,2019-09-10 13:30:58,Login by uID=71
569,43,0,2019-09-10 13:55:07,Login by uID=43
575,69,0,2019-09-10 15:27:30,Login by uID=69
578,33,0,2019-09-10 18:57:45,Login by uID=33
579,33,0,2019-09-10 18:58:00,Login by uID=33
580,33,104,2019-09-10 20:08:48,"INSERT INTO LearningObjectives (uID, Title, Code, Blooms1, Blooms2, Notes, Description) VALUES 33,Presentation Skills,,Apply,Procedural,,Develop effective presentations with a group and effectively deliver those presentations to an audience."
581,45,0,2019-09-10 20:50:32,Login by uID=45
582,45,0,2019-09-10 20:50:40,Login by uID=45
583,59,0,2019-09-10 21:00:18,Login by uID=59
584,59,0,2019-09-10 21:00:28,Login by uID=59
587,69,0,2019-09-11 08:16:16,Login by uID=69
588,69,105,2019-09-11 09:18:16,"INSERT INTO LearningObjectives (uID, Title, Code, Blooms1, Blooms2, Notes, Description) VALUES 69,Cardiovascular Engineering,DSK3,Understand,Conceptual,,Learn the fundamentals of cardiovascular engineering"
589,69,105,2019-09-11 09:20:52,"INSERT INTO Deliverables (loID, Title, Type, Completion, ExpectedCompletion) VALUES105,Cardiovascular Engineering,Homework,Not Started,Q4 WHERE dID=67"
590,69,106,2019-09-11 09:24:35,"INSERT INTO LearningObjectives (uID, Title, Code, Blooms1, Blooms2, Notes, Description) VALUES 69,Apply signal processing expertise,DSK3,Apply,Procedural,,Apply expertise in signal processing to develop pre-processing functions for ECG-based biometric identification prototype. WHERE dID=68"
591,69,106,2019-09-11 09:25:53,"INSERT INTO Deliverables (loID, Title, Type, Completion, ExpectedCompletion) VALUES106,Python environment created with libraries identified,Invention disclosures,Not Started,Q1 WHERE dID=68"
592,69,106,2019-09-11 09:26:29,"INSERT INTO Deliverables (loID, Title, Type, Completion, ExpectedCompletion) VALUES106,Pre-processing functions implemented,Invention disclosures,Not Started,Q2 WHERE dID=69"
593,71,0,2019-09-11 08:26:30,Login by uID=71
594,69,107,2019-09-11 09:29:00,"INSERT INTO LearningObjectives (uID, Title, Code, Blooms1, Blooms2, Notes, Description) VALUES 69,Apply software engineering expertise,DSK4,Create,Procedural,,Develop software for cardiovascular biometric identification prototype."
595,69,107,2019-09-11 09:29:35,"INSERT INTO Deliverables (loID, Title, Type, Completion, ExpectedCompletion) VALUES107,Create Github repository for project,Standard operating procedures,Not Started,Q1 WHERE dID=70"
596,43,0,2019-09-11 09:47:20,Login by uID=43
597,43,0,2019-09-11 09:48:47,Login by uID=43
598,43,0,2019-09-11 09:49:00,Login by uID=43
599,43,0,2019-09-11 09:51:40,Login by uID=43
600,78,0,2019-09-11 10:04:05,Login by uID=78
626,69,0,2019-09-11 14:35:35,Login by uID=69
629,52,0,2019-09-11 15:59:20,Login by uID=52
630,52,0,2019-09-11 16:00:51,Login by uID=52
631,52,0,2019-09-11 16:03:37,Login by uID=52
632,62,0,2019-09-11 17:00:38,Login by uID=62
633,62,0,2019-09-11 17:15:01,Login by uID=62
634,45,0,2019-09-11 17:19:06,Login by uID=45
635,45,0,2019-09-11 17:20:09,Login by uID=45
636,42,0,2019-09-11 17:38:39,Login by uID=42
637,42,0,2019-09-11 17:39:05,Login by uID=42
638,54,0,2019-09-11 18:17:35,Login by uID=54
639,54,0,2019-09-11 18:17:44,Login by uID=54
644,56,0,2019-09-11 19:19:03,Login by uID=56
645,37,0,2019-09-11 19:19:04,Login by uID=37
646,56,0,2019-09-11 19:19:47,Login by uID=56
647,43,0,2019-09-11 19:27:39,Login by uID=43
648,56,113,2019-09-11 20:28:06,"INSERT INTO LearningObjectives (uID, Title, Code, Blooms1, Blooms2, Notes, Description) VALUES 56,Narrow Research Topic Ideas to Present,DSK1,Analyze,Procedural,Generate Ideas to Present.,Narrow Topics to use for the scope of this class for our group to help specify."
649,56,113,2019-09-11 20:30:18,UPDATE LearningObjectives SET uID=56 Title=Narrow Research Topic Ideas to Present Code=DSK1 Blooms1=Analyze Blooms2=Procedural Notes=Generate Ideas to Present.Description=Narrow Topics to use for the scope of this class for our group to help specify.WHERE loID=113
650,56,113,2019-09-11 20:30:44,UPDATE LearningObjectives SET uID=56 Title=Narrow Topic Ideas Code=DSK1 Blooms1=Analyze Blooms2=Procedural Notes=Generate Ideas to Present.Description=Narrow Topics to use for the scope of this class for our group to help specify.WHERE loID=113
651,56,113,2019-09-11 20:31:56,"INSERT INTO Deliverables (loID, Title, Type, Completion, ExpectedCompletion) VALUES113,Narrow Research Topic to Inform Class,Other Low,In progress,Q1 WHERE dID=80"
652,37,0,2019-09-11 20:15:35,Login by uID=37
663,69,0,2019-09-11 20:55:33,Login by uID=69
670,51,0,2019-09-11 22:02:41,Login by uID=51
671,51,0,2019-09-11 22:02:55,Login by uID=51
672,64,0,2019-09-11 22:03:55,Login by uID=64
673,52,117,2019-09-11 23:22:19,"INSERT INTO LearningObjectives (uID, Title, Code, Blooms1, Blooms2, Notes, Description) VALUES 52,Powerpoint,,Remember,Factual,,Create a PowerPoint for the first presentation."
674,52,117,2019-09-11 23:23:17,"INSERT INTO Deliverables (loID, Title, Type, Completion, ExpectedCompletion) VALUES117,Powerpoint,Other Low,Not Started,Q1 WHERE dID=84"
675,52,118,2019-09-11 23:24:40,"INSERT INTO LearningObjectives (uID, Title, Code, Blooms1, Blooms2, Notes, Description) VALUES 52,Research Paper,,Create,Metacognitive,,Write and possibly publish a research paper by the end of the semester."
676,52,118,2019-09-11 23:25:10,"INSERT INTO Deliverables (loID, Title, Type, Completion, ExpectedCompletion) VALUES118,Research Paper,Refereed journal manuscripts,Not Started,Q4 WHERE dID=85"
677,52,119,2019-09-11 23:26:56,"INSERT INTO LearningObjectives (uID, Title, Code, Blooms1, Blooms2, Notes, Description) VALUES 52,Public Speaking,,Apply,Procedural,,Increase my public speaking skills. Speak slower, use the allotted time and make sure I cover all the material I need to."
678,52,119,2019-09-11 23:27:46,"INSERT INTO Deliverables (loID, Title, Type, Completion, ExpectedCompletion) VALUES119,Public Speaking,Other Low,Not Started,Q3 WHERE dID=86"
679,67,0,2019-09-11 22:36:21,Login by uID=67
685,75,0,2019-09-12 00:05:17,Login by uID=75
686,62,0,2019-09-12 00:41:36,Login by uID=62
687,62,0,2019-09-12 00:42:04,Login by uID=62
688,62,0,2019-09-12 00:55:12,Login by uID=62
689,62,0,2019-09-12 00:55:44,Logout by uID=62
690,62,0,2019-09-12 00:55:46,Login by uID=62
691,40,0,2019-09-12 04:42:12,Login by uID=40
692,40,0,2019-09-12 04:42:22,Login by uID=40
693,40,0,2019-09-12 04:58:55,Login by uID=40
696,56,0,2019-09-12 07:44:30,Login by uID=56
697,56,0,2019-09-12 07:44:47,Login by uID=56
698,45,0,2019-09-12 08:06:12,Login by uID=45
699,45,0,2019-09-12 08:06:18,Login by uID=45
700,58,0,2019-09-12 08:10:53,Login by uID=58
701,58,0,2019-09-12 08:11:03,Login by uID=58
702,56,120,2019-09-12 09:15:42,"INSERT INTO LearningObjectives (uID, Title, Code, Blooms1, Blooms2, Notes, Description) VALUES 56,Understand the Cardiovascular System,DSK2,Understand,Conceptual,,Learn and Retain the functions and responsibilities of the cardiovascular system and apply to the project."
703,56,120,2019-09-12 09:17:08,"INSERT INTO Deliverables (loID, Title, Type, Completion, ExpectedCompletion) VALUES120,Understand the Cardiovascular System,Other Low,In progress,Q1 WHERE dID=87"
704,56,0,2019-09-12 08:17:19,Logout by uID=56
705,71,0,2019-09-12 08:21:15,Login by uID=71
706,33,0,2019-09-12 08:29:59,Login by uID=33
707,33,0,2019-09-12 08:30:11,Login by uID=33
708,45,121,2019-09-12 09:43:34,"INSERT INTO LearningObjectives (uID, Title, Code, Blooms1, Blooms2, Notes, Description) VALUES 45,1st Draft of ECG Schematic,DSK3,Create,Factual,,I am going to design the first rough draft of the ECG schematic by the end of Q1."
709,45,121,2019-09-12 09:46:29,"INSERT INTO Deliverables (loID, Title, Type, Completion, ExpectedCompletion) VALUES121,1st Draft of ECG Schematic,Other Low,In progress,Q1 WHERE dID=88"
710,45,121,2019-09-12 09:47:05,"UPDATE Deliverables SET Title=1st Draft of ECG Schematic,Type=Other LowCompletion=CompletedExpectedCompletion=Q1 WHERE dID=88"
711,45,121,2019-09-12 09:47:21,"UPDATE Deliverables SET Title=1st Draft of ECG Schematic,Type=Other LowCompletion=In progressExpectedCompletion=Q1 WHERE dID=88"
712,45,122,2019-09-12 09:54:34,"INSERT INTO LearningObjectives (uID, Title, Code, Blooms1, Blooms2, Notes, Description) VALUES 45,Design ECG Front-End Schematic,DSK3,Create,Conceptual,,Design the ECG front-end schematic for the CardioKey Sensor Package."
