User Number,Date Time,Year,Token Number,Text 1,Text 2,Text 3,Text 4,Text Concat
33,2019-09-16 10:10:28,2019,123,Tissue Engineering Research and Paper Writing,Learning about Tissue Engineering and the possibilities within this discipline. Then condensing the ideas down into a paper to publish for other people to read from.,Write Paper,,Tissue Engineering Research and Paper Writing Learning about Tissue Engineering and the possibilities within this discipline. Then condensing the ideas down into a paper to publish for other people to read from. Write Paper
33,2019-09-16 10:10:57,2019,124,Presentation Skills,,2nd Presentation,,Presentation Skills  2nd Presentation
78,2019-09-16 15:15:19,2019,125,Lower Body Negative Pressure,Study the use of LBNP to investigate complex physiological responses to some challenges such as hemorrhage.,Lower Body Negative Pressure,,Lower Body Negative Pressure Study the use of LBNP to investigate complex physiological responses to some challenges such as hemorrhage. Lower Body Negative Pressure
37,2019-09-16 15:17:03,2019,126,Formulate project idea,,Created 1 minute video and posted to FlipGrid,,Formulate project idea  Created 1 minute video and posted to FlipGrid
37,2019-09-16 15:17:46,2019,126,Formulate project idea,,Created an improved 1 minute video and posted to flipgrid,,Formulate project idea  Created an improved 1 minute video and posted to flipgrid
37,2019-09-16 15:19:21,2019,128,Formulate project idea AND team,Use NIH to find a RFP or FOA that inspires a unique product.,Recruited 3 team members on merits of video alone,,Formulate project idea AND team Use NIH to find a RFP or FOA that inspires a unique product. Recruited 3 team members on merits of video alone
77,2019-09-16 16:04:28,2019,129,Lower body Negative pressure,Study-LBNP-Electrocardiogram-Blood pressure-Photoplethysmogram-sysmocardiogram-Type of hemorrhage,Lower body Negative pressure,,Lower body Negative pressure Study-LBNP-Electrocardiogram-Blood pressure-Photoplethysmogram-sysmocardiogram-Type of hemorrhage Lower body Negative pressure
37,2019-09-16 17:51:00,2019,130,Learn about video production resources on campus.,,Visited TLMC in QBB - Used sound booth to create 1 minute Flipgrid video,,Learn about video production resources on campus.  Visited TLMC in QBB - Used sound booth to create 1 minute Flipgrid video
37,2019-09-16 17:52:07,2019,131,Learn about video production resources on campus.,,Recruited 3 teammates on merits of video alone.,,Learn about video production resources on campus.  Recruited 3 teammates on merits of video alone.
37,2019-09-16 18:00:22,2019,132,Learn how to competitively participate in Fall 2019 innovation challenge.,,Attend Innovation Challenge Hype Night,,Learn how to competitively participate in Fall 2019 innovation challenge.  Attend Innovation Challenge Hype Night
37,2019-09-16 18:09:10,2019,133,Learn basics of cardiology,,Read first chapter of text.,,Learn basics of cardiology  Read first chapter of text.
37,2019-09-16 18:09:49,2019,134,Learn basics of cardiology,,Generate questions about content of chapter 1 test.,,Learn basics of cardiology  Generate questions about content of chapter 1 test.
64,2019-09-17 21:36:37,2019,137,Improve Presentation Skills,,Create presi presentation,,Improve Presentation Skills  Create presi presentation
64,2019-09-17 21:37:01,2019,137,Improve Presentation Skills,,Create press presentation,,Improve Presentation Skills  Create press presentation
64,2019-09-17 21:37:12,2019,137,Improve Presentation Skills,,Create prezi presentation,,Improve Presentation Skills  Create prezi presentation
71,2019-09-18 14:13:07,2019,63,Project Plan,Discuss functional requirements,CardioKey Sensor Patent,,Project Plan Discuss functional requirements CardioKey Sensor Patent
43,2019-09-18 18:40:11,2019,138,Be able to determine the risk of heart disease for different people based on demographic information,,Research more about heart disease and its risk factors,,Be able to determine the risk of heart disease for different people based on demographic information  Research more about heart disease and its risk factors
43,2019-09-18 18:40:49,2019,139,Be able to determine the risk of heart disease for different people based on demographic information,,Determine how much each risk factor effects the overall risk of heart disease,,Be able to determine the risk of heart disease for different people based on demographic information  Determine how much each risk factor effects the overall risk of heart disease
43,2019-09-18 18:47:51,2019,140,Create a Working Website,,Find out about the legal challenges of a website and how to get around them,,Create a Working Website  Find out about the legal challenges of a website and how to get around them
52,2019-09-18 19:18:58,2019,142,Peer Review,,Giving feedback on presentations given in Quarter 1,,Peer Review  Giving feedback on presentations given in Quarter 1
52,2019-09-18 19:19:24,2019,143,Peer Review,,Giving feedback on presentations given in Quarter 2,,Peer Review  Giving feedback on presentations given in Quarter 2
52,2019-09-18 19:19:50,2019,144,Peer Review,,Giving feedback on presentations given in Quarter 3,,Peer Review  Giving feedback on presentations given in Quarter 3
52,2019-09-18 19:20:14,2019,145,Peer Review,,Giving feedback on presentations given in Quarter 4,,Peer Review  Giving feedback on presentations given in Quarter 4
52,2019-09-18 19:23:16,2019,146,Public Speaking,,Create a PowerPoint for the first presentation,,Public Speaking  Create a PowerPoint for the first presentation
33,2019-09-18 19:23:42,2019,147,Group Distribution and Communication,,Group Contract,,Group Distribution and Communication  Group Contract
52,2019-09-18 19:25:57,2019,148,Research Tissue Engineering,Research tissue engineering and create an in depth understanding of it. I will  use this knowledge to contribute to the research paper my group will be writing by the end of the semester.,Attend Biomedical Engineering Symposium,,Research Tissue Engineering Research tissue engineering and create an in depth understanding of it. I will  use this knowledge to contribute to the research paper my group will be writing by the end of the semester. Attend Biomedical Engineering Symposium
52,2019-09-18 19:27:21,2019,149,Research Paper,Write and possibly publish a research paper by the end of the semester with my group.,Begin writing research paper,,Research Paper Write and possibly publish a research paper by the end of the semester with my group. Begin writing research paper
52,2019-09-18 19:28:09,2019,150,Research Paper,Write and possibly publish a research paper by the end of the semester with my group.,Publish Research Paper,,Research Paper Write and possibly publish a research paper by the end of the semester with my group. Publish Research Paper
52,2019-09-18 19:29:08,2019,152,Public Speaking,Increase my public speaking skills. Speak slower use the allotted time and make sure I cover all the material I need to.,Modify PowerPoint for second presentation,,Public Speaking Increase my public speaking skills. Speak slower use the allotted time and make sure I cover all the material I need to. Modify PowerPoint for second presentation
52,2019-09-18 19:29:35,2019,152,Public Speaking,Increase my public speaking skills. Speak slower use the allotted time and make sure I cover all the material I need to.,Modify PowerPoint for following presentations,,Public Speaking Increase my public speaking skills. Speak slower use the allotted time and make sure I cover all the material I need to. Modify PowerPoint for following presentations
52,2019-09-18 19:30:53,2019,153,Research Tissue Engineering,Research tissue engineering and create an in depth understanding of it. I will  use this knowledge to contribute to the research paper my group will be writing by the end of the semester.,Research tissue engineering and become familiar with the topic,,Research Tissue Engineering Research tissue engineering and create an in depth understanding of it. I will  use this knowledge to contribute to the research paper my group will be writing by the end of the semester. Research tissue engineering and become familiar with the topic
52,2019-09-18 19:36:14,2019,154,EMBS Presentation,,Create PowerPoint for presentation,,EMBS Presentation  Create PowerPoint for presentation
52,2019-09-18 19:36:34,2019,154,EMBS Presentation,,Create PowerPoint for EMBS presentation,,EMBS Presentation  Create PowerPoint for EMBS presentation
52,2019-09-18 19:37:15,2019,155,EMBS Presentation,,Present for EMBS,,EMBS Presentation  Present for EMBS
62,2019-09-19 04:23:01,2019,157,,,Gathering,,  Gathering
86,2019-09-19 10:52:40,2019,158,Early Detection of Haemorrhage via Simulated LBNP,To develop early prediction model to detect haemorrhage via LBNP,Early Detection of Haemorrhage via Simulated LBNP,,Early Detection of Haemorrhage via Simulated LBNP To develop early prediction model to detect haemorrhage via LBNP Early Detection of Haemorrhage via Simulated LBNP
54,2019-09-19 11:26:52,2019,159,I will be able to demonstrate my ability to work as a team leader as well as a team follower through,,Meeting Minutes,,I will be able to demonstrate my ability to work as a team leader as well as a team follower through  Meeting Minutes
54,2019-09-19 11:29:29,2019,160,I will be able to demonstrate my ability to work as a team leader as well as a team follower through,,Initial Group Powerpoint,,I will be able to demonstrate my ability to work as a team leader as well as a team follower through  Initial Group Powerpoint
54,2019-09-19 12:09:42,2019,161,Will be able to demonstrate my ability to work as a team micromanager.,,Start Initial Powerpoint,,Will be able to demonstrate my ability to work as a team micromanager.  Start Initial Powerpoint
54,2019-09-19 12:43:28,2019,163,Understand how genes play an important role in the cardiovascular system.,,Learn what genes serve as markers for cardiovascular deformities and disease.,,Understand how genes play an important role in the cardiovascular system.  Learn what genes serve as markers for cardiovascular deformities and disease.
54,2019-09-19 12:44:50,2019,164,Understand how genes play an important role in the cardiovascular system.,,Learn what genes determine blood pressure.,,Understand how genes play an important role in the cardiovascular system.  Learn what genes determine blood pressure.
54,2019-09-19 12:45:37,2019,165,Will take part in making a website assisting Josh and Zach.,,Review Website,,Will take part in making a website assisting Josh and Zach.  Review Website
54,2019-09-19 12:46:01,2019,166,Will take part in making a website assisting Josh and Zach.,,Work through website issues,,Will take part in making a website assisting Josh and Zach.  Work through website issues
54,2019-09-19 12:46:47,2019,167,Will be able to demonstrate my ability to work as a team micromanager.,,Meeting Minutes [insert date],,Will be able to demonstrate my ability to work as a team micromanager.  Meeting Minutes [insert date]
43,2019-09-19 13:19:20,2019,168,Create a Working Website,,Learn how to write code for a website,,Create a Working Website  Learn how to write code for a website
43,2019-09-19 13:20:11,2019,170,Create a Working Website,,Learn how to design a website to be visually appealing and easy to use,,Create a Working Website  Learn how to design a website to be visually appealing and easy to use
43,2019-09-19 13:21:29,2019,171,Get the tool out into society,,Reach out to different organizations about the tool,,Get the tool out into society  Reach out to different organizations about the tool
43,2019-09-19 13:22:27,2019,172,Get the tool out into society,,Present the tool to organizations,,Get the tool out into society  Present the tool to organizations
51,2019-09-19 13:51:53,2019,174,Communicating Professionally,,Ruft draft email,,Communicating Professionally  Ruft draft email
51,2019-09-19 13:52:48,2019,175,Communicating Professionally,,collecting emails,,Communicating Professionally  collecting emails
51,2019-09-19 13:53:29,2019,176,Communicating Professionally,,Thank You email for information/consideration,,Communicating Professionally  Thank You email for information/consideration
51,2019-09-19 13:54:35,2019,177,Communicating Professionally,,Inviting to use website,,Communicating Professionally  Inviting to use website
51,2019-09-19 14:01:13,2019,178,Website Design,,Color/layout design,,Website Design  Color/layout design
51,2019-09-19 14:02:02,2019,179,Website Design,,Organisation of the Data,,Website Design  Organisation of the Data
51,2019-09-19 14:04:03,2019,180,Website Design,,Membership controle,,Website Design  Membership controle
51,2019-09-19 14:08:47,2019,181,Long range comunication,,Channel of Communication,,Long range comunication  Channel of Communication
51,2019-09-19 14:09:26,2019,182,Long range comunication,,Weekly meeting plans,,Long range comunication  Weekly meeting plans
51,2019-09-19 14:10:09,2019,183,Long range comunication,,splitting research up while being organized,,Long range comunication  splitting research up while being organized
51,2019-09-19 14:27:10,2019,187,Very specific Research,,reach out,,Very specific Research  reach out
51,2019-09-19 14:28:01,2019,188,Very specific Research,,Organization,,Very specific Research  Organization
51,2019-09-19 14:28:53,2019,189,Very specific Research,,Transferable to easy understand,,Very specific Research  Transferable to easy understand
51,2019-09-19 14:43:19,2019,190,Very specific Research,,Deciding what information we want,,Very specific Research  Deciding what information we want
50,2019-09-19 23:19:14,2019,191,Review on Cardiopulmonary Physiology and Pathology,,Develop abstract and poster for BME Symposium,,Review on Cardiopulmonary Physiology and Pathology  Develop abstract and poster for BME Symposium
50,2019-09-20 00:05:30,2019,192,Review Cardiopulmonary Physiology Pathology and detection of CPD parameters,Background study of the heart and lung function and abnormalities that can arise as well as indicators that precede or predict the deterioration of people living with CPD.,Develop and present for review,,Review Cardiopulmonary Physiology Pathology and detection of CPD parameters Background study of the heart and lung function and abnormalities that can arise as well as indicators that precede or predict the deterioration of people living with CPD. Develop and present for review
50,2019-09-20 00:53:33,2019,193,Improve my Team player Skills, Know my strengths and weaknesses and that of other group members and what I can learn from them. Try to communicate better and give positive feedback. Know my roles and other team members' expectatio,Improve my Team player Skills,,Improve my Team player Skills  Know my strengths and weaknesses and that of other group members and what I can learn from them. Try to communicate better and give positive feedback. Know my roles and other team members' expectatio Improve my Team player Skills
50,2019-09-20 01:24:21,2019,194,Implement the selected methods to develop a proposed design for the biosensor,,Implement methods from class & symposium reviews and literature to develop a proposed design for the,,Implement the selected methods to develop a proposed design for the biosensor  Implement methods from class & symposium reviews and literature to develop a proposed design for the
50,2019-09-20 01:31:43,2019,195,Acquire better presentation skills,Learn how to communicate my research results and proposals through the several presentations in the class and at external events.,Demonstrate good presentation skills,,Acquire better presentation skills Learn how to communicate my research results and proposals through the several presentations in the class and at external events. Demonstrate good presentation skills
50,2019-09-20 01:40:07,2019,196,Learn Computer Simulation Skills,Learn LABVIEW and COMSOL during our computer simulation sessions in Quarter 3. Acquiring this skill will be useful for my future research work on sensor design,Demonstrate Proficiency in Computer Simulation(LABVIEW & COMSOL),,Learn Computer Simulation Skills Learn LABVIEW and COMSOL during our computer simulation sessions in Quarter 3. Acquiring this skill will be useful for my future research work on sensor design Demonstrate Proficiency in Computer Simulation(LABVIEW & COMSOL)
75,2019-09-20 18:19:50,2019,197,Record signals using IWorks,,Record trial with help of experienced student,,Record signals using IWorks  Record trial with help of experienced student
75,2019-09-20 18:20:19,2019,198,Record signals using IWorks,,Record solo and lead experiments,,Record signals using IWorks  Record solo and lead experiments
75,2019-09-20 18:26:43,2019,199,Compare various sensor types,,Record from each sensor type,,Compare various sensor types  Record from each sensor type
75,2019-09-20 18:27:38,2019,200,Compare various sensor types,,Statistically analyze to choose best sensor,,Compare various sensor types  Statistically analyze to choose best sensor
75,2019-09-20 18:28:00,2019,201,Compare various sensor types,,Establish operating procedure and manual for best sensor,,Compare various sensor types  Establish operating procedure and manual for best sensor
75,2019-09-20 18:30:00,2019,202,Prepare BME Symposium Poster,,Prepare poster,,Prepare BME Symposium Poster  Prepare poster
75,2019-09-20 18:32:44,2019,203,Create experiment procedure for data collection,,Practice data collection to identify best method,,Create experiment procedure for data collection  Practice data collection to identify best method
75,2019-09-20 18:33:01,2019,204,Create experiment procedure for data collection,,Write procedure,,Create experiment procedure for data collection  Write procedure
75,2019-09-20 18:34:47,2019,205,Establish control subject database,,Record from multiple subjects,,Establish control subject database  Record from multiple subjects
75,2019-09-20 18:35:24,2019,206,Establish control subject database,,Analyze data set,,Establish control subject database  Analyze data set
75,2019-09-20 18:35:59,2019,207,Establish control subject database,,Provide data set and instructions for others to use online,,Establish control subject database  Provide data set and instructions for others to use online
75,2019-09-20 18:38:29,2019,208,Identify diastolic interval changes using ACG signal,,Identify diastolic interval of ACG signal by comparing to ECG,,Identify diastolic interval changes using ACG signal  Identify diastolic interval of ACG signal by comparing to ECG
75,2019-09-20 18:39:29,2019,209,Identify diastolic interval changes using ACG signal,,Identify physiological changes to ACG diastolic interval,,Identify diastolic interval changes using ACG signal  Identify physiological changes to ACG diastolic interval
66,2019-09-21 15:36:06,2019,210,Initial group meeting and set up communication,Form meeting to understand the project concept and context also share ideas,Initial group meeting and set up communication,,Initial group meeting and set up communication Form meeting to understand the project concept and context also share ideas Initial group meeting and set up communication
66,2019-09-21 15:36:35,2019,211,Getting started with GUIs- Raspberry Pie,Getting certificate in the course outside the school to learn the user interface,Getting started with GUIs- Raspberry Pie,,Getting started with GUIs- Raspberry Pie Getting certificate in the course outside the school to learn the user interface Getting started with GUIs- Raspberry Pie
66,2019-09-21 15:37:37,2019,212,Investigate some basic ideas in Research papers,,Investigate some basic ideas in Research papers,,Investigate some basic ideas in Research papers  Investigate some basic ideas in Research papers
66,2019-09-21 15:43:04,2019,213,Write a Research Paper,,Write an article for scholarship,,Write a Research Paper  Write an article for scholarship
45,2019-09-21 19:58:07,2019,215,Learn PCB Design,Learn how to use Upverter to design a printed circuit board for the electronic hardware in our CardioKey Sensor Package.,Verify ECG Schematic,,Learn PCB Design Learn how to use Upverter to design a printed circuit board for the electronic hardware in our CardioKey Sensor Package. Verify ECG Schematic
45,2019-09-21 20:00:24,2019,216,Learn PCB Design,Learn how to use Upverter to design a printed circuit board for the electronic hardware in our CardioKey Sensor Package.,Finish PCB Design,,Learn PCB Design Learn how to use Upverter to design a printed circuit board for the electronic hardware in our CardioKey Sensor Package. Finish PCB Design
45,2019-09-21 20:04:17,2019,217,Learn PCB Design,Learn how to use Upverter to design a printed circuit board for the electronic hardware in our CardioKey Sensor Package.,Test PCB,,Learn PCB Design Learn how to use Upverter to design a printed circuit board for the electronic hardware in our CardioKey Sensor Package. Test PCB
45,2019-09-21 20:06:17,2019,218,Learn PCB Design,Learn how to use Upverter to design a printed circuit board for the electronic hardware in our CardioKey Sensor Package.,Implement PCB in a Working CardioKey Device,,Learn PCB Design Learn how to use Upverter to design a printed circuit board for the electronic hardware in our CardioKey Sensor Package. Implement PCB in a Working CardioKey Device
69,2019-09-22 17:23:44,2019,221,ECG Filtering,I will learn about how to deal with common noise sources in ECG signals by writing filtering and preprocessing functions in Python.,Jupyter notebook created with tutorial about ECG noise sources and filtering,,ECG Filtering I will learn about how to deal with common noise sources in ECG signals by writing filtering and preprocessing functions in Python. Jupyter notebook created with tutorial about ECG noise sources and filtering
69,2019-09-22 17:28:17,2019,222,ECG Filtering,I will learn about how to deal with common noise sources in ECG signals by writing filtering and preprocessing functions in Python.,Conduct research on common ECG noise sources,,ECG Filtering I will learn about how to deal with common noise sources in ECG signals by writing filtering and preprocessing functions in Python. Conduct research on common ECG noise sources
69,2019-09-22 17:29:23,2019,223,ECG Filtering,I will learn about how to deal with common noise sources in ECG signals by writing filtering and preprocessing functions in Python.,Write Python functions for filtering out noise sources in ECG and post in team's Git repository,,ECG Filtering I will learn about how to deal with common noise sources in ECG signals by writing filtering and preprocessing functions in Python. Write Python functions for filtering out noise sources in ECG and post in team's Git repository
69,2019-09-22 17:31:13,2019,224,ECG Filtering,I will learn about how to deal with common noise sources in ECG signals by writing filtering and preprocessing functions in Python.,Apply preprocessing functions to data collected with team's hardware and revise functions as necessa,,ECG Filtering I will learn about how to deal with common noise sources in ECG signals by writing filtering and preprocessing functions in Python. Apply preprocessing functions to data collected with team's hardware and revise functions as necessa
69,2019-09-22 17:32:14,2019,225,ECG Filtering,I will learn about how to deal with common noise sources in ECG signals by writing filtering and preprocessing functions in Python.,Create public Jupyter notebook with tutorial on how to preprocess ECG signals,,ECG Filtering I will learn about how to deal with common noise sources in ECG signals by writing filtering and preprocessing functions in Python. Create public Jupyter notebook with tutorial on how to preprocess ECG signals
69,2019-09-22 17:34:08,2019,226,Working on collaborative software project with dispersed team,,Create Github repository for project with README file explaining how to automatically create Python,,Working on collaborative software project with dispersed team  Create Github repository for project with README file explaining how to automatically create Python
69,2019-09-22 17:37:50,2019,227,Embedded systems,,Purchase a Raspberry Pi,,Embedded systems  Purchase a Raspberry Pi
69,2019-09-22 17:38:39,2019,228,Embedded systems,,Load the CardioKey software onto the Raspberry Pi,,Embedded systems  Load the CardioKey software onto the Raspberry Pi
69,2019-09-22 17:39:47,2019,229,Embedded systems,,Write tutorial about best practices and procedure for loading Python software onto Raspberry Pi,,Embedded systems  Write tutorial about best practices and procedure for loading Python software onto Raspberry Pi
69,2019-09-22 17:42:41,2019,230,Entrepreneurship,,Conduct research on biometric ID schemes and potential advantages of ECG-based approach,,Entrepreneurship  Conduct research on biometric ID schemes and potential advantages of ECG-based approach
69,2019-09-22 17:43:27,2019,231,Entrepreneurship,,Apply for patent for CardioKey device,,Entrepreneurship  Apply for patent for CardioKey device
69,2019-09-22 17:44:20,2019,232,Working on collaborative software project with dispersed team,,Write paper describing experience with CardioKey team,,Working on collaborative software project with dispersed team  Write paper describing experience with CardioKey team
69,2019-09-22 17:48:09,2019,233,Potential for ECG as the basis for a biometric ID device,,Collect or obtain ECG data from multiple individuals,,Potential for ECG as the basis for a biometric ID device  Collect or obtain ECG data from multiple individuals
69,2019-09-22 17:48:48,2019,234,Potential for ECG as the basis for a biometric ID device,,Conduct research on common features used in ECG classification,,Potential for ECG as the basis for a biometric ID device  Conduct research on common features used in ECG classification
69,2019-09-22 17:49:49,2019,235,Potential for ECG as the basis for a biometric ID device,,Develop and implement (in Python) ECG ID algorithms,,Potential for ECG as the basis for a biometric ID device  Develop and implement (in Python) ECG ID algorithms
69,2019-09-22 17:50:35,2019,236,Potential for ECG as the basis for a biometric ID device,,Create Jupyter notebook tutorial on ECG identification,,Potential for ECG as the basis for a biometric ID device  Create Jupyter notebook tutorial on ECG identification
46,2019-09-23 15:16:03,2019,239,general research on heart disease,,general research on heart disease,,general research on heart disease  general research on heart disease
46,2019-09-23 15:18:18,2019,240,general research on heart disease,,compile information to be used on web tool,,general research on heart disease  compile information to be used on web tool
46,2019-09-23 15:20:01,2019,241,general research on heart disease,,determine most common forms of heart disease to be included on project,,general research on heart disease  determine most common forms of heart disease to be included on project
46,2019-09-23 15:24:39,2019,242,research potential legal issues,,research laws concerning information inputs from users,,research potential legal issues  research laws concerning information inputs from users
46,2019-09-23 15:26:14,2019,243,research potential legal issues,,research laws concerning the disease information displayed on the web tool,,research potential legal issues  research laws concerning the disease information displayed on the web tool
46,2019-09-23 15:29:22,2019,244,web tool design (information side),,design flow chart for the layout of the website,,web tool design (information side)  design flow chart for the layout of the website
56,2019-09-23 19:57:05,2019,245,Publish Research Paper,,Publication,,Publish Research Paper  Publication
56,2019-09-23 20:03:30,2019,246,Present Research,,Present Research,,Present Research  Present Research
56,2019-09-23 20:14:26,2019,248,Understand the Cardiovascular System,Learn and Retain the functions and responsibilities of the cardiovascular system and apply to the project.,Understand CH. 1,,Understand the Cardiovascular System Learn and Retain the functions and responsibilities of the cardiovascular system and apply to the project. Understand CH. 1
56,2019-09-23 20:15:06,2019,249,Understand the Cardiovascular System,Learn and Retain the functions and responsibilities of the cardiovascular system and apply to the project.,Understand CH. 2,,Understand the Cardiovascular System Learn and Retain the functions and responsibilities of the cardiovascular system and apply to the project. Understand CH. 2
56,2019-09-23 20:21:38,2019,250,Publish Research Paper,,Research Topic,,Publish Research Paper  Research Topic
62,2019-09-24 11:37:25,2019,251,Platform utility,Finding economic feasibiltypopularity ease of use and HIPPA compliant material that will support the best platform for our product.,Platform utility,,Platform utility Finding economic feasibiltypopularity ease of use and HIPPA compliant material that will support the best platform for our product. Platform utility
62,2019-09-24 11:50:44,2019,252,Machine Learning Studies,Start chapter 1,Machine Learning Studies,,Machine Learning Studies Start chapter 1 Machine Learning Studies
62,2019-09-24 13:27:28,2019,266,Team dev,,Workspace,,Team dev  Workspace
62,2019-09-24 13:33:46,2019,267,Pitching,,Pitch ideas to a class,,Pitching  Pitch ideas to a class
42,2019-09-24 13:36:34,2019,268,Understand biometric identity based on heartbeat,,Construct a diagram of an ECG with notation for individual segments,,Understand biometric identity based on heartbeat  Construct a diagram of an ECG with notation for individual segments
42,2019-09-24 13:44:20,2019,272,Work with Geographically Diverse Team,,Track team meeting with minutes.,,Work with Geographically Diverse Team  Track team meeting with minutes.
42,2019-09-24 14:06:55,2019,276,Work with Geographically Diverse Team,,Lead team meeting with prepared agenda.,,Work with Geographically Diverse Team  Lead team meeting with prepared agenda.
