Log Number,User Number,Action Type,Time,Year,LO Number,D Number,LO Name,LOType,Blooms1,Blooms2,Description,Deliverable Name,Deliverable Type,Progress,Quarter,Deliverable Description
452,62,Login,2019-09-05 13:31:51,2019,,,,,,,,,,,,
454,82,Insert User,2019-09-05 14:33:53,2019,,,,,,,,,,,,
456,82,Login,2019-09-05 13:34:01,2019,,,,,,,,,,,,
459,82,Login,2019-09-05 13:37:39,2019,,,,,,,,,,,,
460,47,Login,2019-09-05 13:37:54,2019,,,,,,,,,,,,
464,42,Login,2019-09-05 14:40:12,2019,,,,,,,,,,,,
469,77,Login,2019-09-05 15:17:21,2019,,,,,,,,,,,,
470,54,Login,2019-09-05 15:32:38,2019,,,,,,,,,,,,
471,67,Login,2019-09-05 15:35:19,2019,,,,,,,,,,,,
483,64,Login,2019-09-05 22:17:49,2019,,,,,,,,,,,,
487,71,Login,2019-09-06 11:52:47,2019,,,,,,,,,,,,
489,40,Login,2019-09-06 13:59:32,2019,,,,,,,,,,,,
490,40,Login,2019-09-06 13:59:48,2019,,,,,,,,,,,,
491,62,Login,2019-09-06 15:30:58,2019,,,,,,,,,,,,
492,62,Login,2019-09-06 15:31:38,2019,,,,,,,,,,,,
493,40,Logout,2019-09-06 16:02:26,2019,,,,,,,,,,,,
494,78,Login,2019-09-06 16:19:14,2019,,,,,,,,,,,,
497,58,Login,2019-09-07 08:44:40,2019,,,,,,,,,,,,
498,58,Login,2019-09-07 08:47:08,2019,,,,,,,,,,,,
499,58,Login,2019-09-07 08:48:43,2019,,,,,,,,,,,,
500,64,Login,2019-09-07 10:11:08,2019,,,,,,,,,,,,
501,58,Login,2019-09-07 14:16:55,2019,,,,,,,,,,,,
506,45,Login,2019-09-08 21:28:51,2019,,,,,,,,,,,,
507,45,Login,2019-09-08 21:29:01,2019,,,,,,,,,,,,
511,56,Login,2019-09-09 09:18:32,2019,,,,,,,,,,,,
512,54,Login,2019-09-09 10:26:25,2019,,,,,,,,,,,,
526,40,Login,2019-09-09 21:43:49,2019,,,,,,,,,,,,
527,40,Login,2019-09-09 21:44:01,2019,,,,,,,,,,,,
528,40,Logout,2019-09-09 21:47:58,2019,,,,,,,,,,,,
529,40,Login,2019-09-10 05:17:00,2019,,,,,,,,,,,,
530,68,Login,2019-09-10 05:51:35,2019,,,,,,,,,,,,
531,68,Login,2019-09-10 05:53:53,2019,,,,,,,,,,,,
532,45,Login,2019-09-10 07:28:53,2019,,,,,,,,,,,,
533,45,Login,2019-09-10 07:29:12,2019,,,,,,,,,,,,
535,43,Login,2019-09-10 09:57:23,2019,,,,,,,,,,,,
537,77,Login,2019-09-10 10:35:28,2019,,,,,,,,,,,,
539,54,Login,2019-09-10 10:40:36,2019,,,,,,,,,,,,
540,54,Login,2019-09-10 10:40:41,2019,,,,,,,,,,,,
542,56,Login,2019-09-10 12:23:24,2019,,,,,,,,,,,,
543,45,Login,2019-09-10 12:27:45,2019,,,,,,,,,,,,
544,45,Login,2019-09-10 12:27:57,2019,,,,,,,,,,,,
545,42,Login,2019-09-10 12:29:14,2019,,,,,,,,,,,,
548,56,Login,2019-09-10 12:30:27,2019,,,,,,,,,,,,
549,58,Login,2019-09-10 12:32:59,2019,,,,,,,,,,,,
550,40,Login,2019-09-10 12:36:33,2019,,,,,,,,,,,,
559,82,Login,2019-09-10 13:24:50,2019,,,,,,,,,,,,
560,82,Login,2019-09-10 13:25:22,2019,,,,,,,,,,,,
561,66,Login,2019-09-10 13:26:04,2019,,,,,,,,,,,,
563,71,Login,2019-09-10 13:30:58,2019,,,,,,,,,,,,
569,43,Login,2019-09-10 13:55:07,2019,,,,,,,,,,,,
575,69,Login,2019-09-10 15:27:30,2019,,,,,,,,,,,,
578,33,Login,2019-09-10 18:57:45,2019,,,,,,,,,,,,
579,33,Login,2019-09-10 18:58:00,2019,,,,,,,,,,,,
580,33,Insert Learning Objective,2019-09-10 20:08:48,2019,104,,Presentation Skills,,Apply,Procedural,,,,,,
581,45,Login,2019-09-10 20:50:32,2019,,,,,,,,,,,,
582,45,Login,2019-09-10 20:50:40,2019,,,,,,,,,,,,
583,59,Login,2019-09-10 21:00:18,2019,,,,,,,,,,,,
584,59,Login,2019-09-10 21:00:28,2019,,,,,,,,,,,,
587,69,Login,2019-09-11 08:16:16,2019,,,,,,,,,,,,
588,69,Insert Learning Objective,2019-09-11 09:18:16,2019,105,,Cardiovascular Engineering,DSK3,Understand,Conceptual,,,,,,
589,69,Insert Deliverable,2019-09-11 09:20:52,2019,105,67,,,,,,Cardiovascular Engineering,Homework,Not Started,Q4,
590,69,Insert Learning Objective,2019-09-11 09:24:35,2019,106,,Apply signal processing expertise,DSK3,Apply,Procedural,,,,,,
591,69,Insert Deliverable,2019-09-11 09:25:53,2019,106,68,,,,,,Python environment created with libraries identified,Invention disclosures,Not Started,Q1,
592,69,Insert Deliverable,2019-09-11 09:26:29,2019,106,69,,,,,,Pre-processing functions implemented,Invention disclosures,Not Started,Q2,
593,71,Login,2019-09-11 08:26:30,2019,,,,,,,,,,,,
594,69,Insert Learning Objective,2019-09-11 09:29:00,2019,107,,Apply software engineering expertise,DSK4,Create,Procedural,,,,,,
595,69,Insert Deliverable,2019-09-11 09:29:35,2019,107,70,,,,,,Create Github repository for project,Standard operating procedures,Not Started,Q1,
596,43,Login,2019-09-11 09:47:20,2019,,,,,,,,,,,,
597,43,Login,2019-09-11 09:48:47,2019,,,,,,,,,,,,
598,43,Login,2019-09-11 09:49:00,2019,,,,,,,,,,,,
599,43,Login,2019-09-11 09:51:40,2019,,,,,,,,,,,,
600,78,Login,2019-09-11 10:04:05,2019,,,,,,,,,,,,
626,69,Login,2019-09-11 14:35:35,2019,,,,,,,,,,,,
629,52,Login,2019-09-11 15:59:20,2019,,,,,,,,,,,,
630,52,Login,2019-09-11 16:00:51,2019,,,,,,,,,,,,
631,52,Login,2019-09-11 16:03:37,2019,,,,,,,,,,,,
632,62,Login,2019-09-11 17:00:38,2019,,,,,,,,,,,,
633,62,Login,2019-09-11 17:15:01,2019,,,,,,,,,,,,
634,45,Login,2019-09-11 17:19:06,2019,,,,,,,,,,,,
635,45,Login,2019-09-11 17:20:09,2019,,,,,,,,,,,,
636,42,Login,2019-09-11 17:38:39,2019,,,,,,,,,,,,
637,42,Login,2019-09-11 17:39:05,2019,,,,,,,,,,,,
638,54,Login,2019-09-11 18:17:35,2019,,,,,,,,,,,,
639,54,Login,2019-09-11 18:17:44,2019,,,,,,,,,,,,
644,56,Login,2019-09-11 19:19:03,2019,,,,,,,,,,,,
645,37,Login,2019-09-11 19:19:04,2019,,,,,,,,,,,,
646,56,Login,2019-09-11 19:19:47,2019,,,,,,,,,,,,
647,43,Login,2019-09-11 19:27:39,2019,,,,,,,,,,,,
648,56,Insert Learning Objective,2019-09-11 20:28:06,2019,113,,Narrow Research Topic Ideas to Present,DSK1,Analyze,Procedural,Generate Ideas to Present.,,,,,
649,56,Update Learning Objective,2019-09-11 20:30:18,2019,113,,Narrow Research Topic Ideas to Present,DSK1,Analyze,Procedural,Narrow Topics to use for the scope of this class for our group to help specify.,,,,,
650,56,Update Learning Objective,2019-09-11 20:30:44,2019,113,,Narrow Topic Ideas,DSK1,Analyze,Procedural,Narrow Topics to use for the scope of this class for our group to help specify.,,,,,
651,56,Insert Deliverable,2019-09-11 20:31:56,2019,113,80,,,,,,Narrow Research Topic to Inform Class,Other Low,In progress,Q1,
652,37,Login,2019-09-11 20:15:35,2019,,,,,,,,,,,,
663,69,Login,2019-09-11 20:55:33,2019,,,,,,,,,,,,
670,51,Login,2019-09-11 22:02:41,2019,,,,,,,,,,,,
671,51,Login,2019-09-11 22:02:55,2019,,,,,,,,,,,,
672,64,Login,2019-09-11 22:03:55,2019,,,,,,,,,,,,
673,52,Insert Learning Objective,2019-09-11 23:22:19,2019,117,,Powerpoint,,Remember,Factual,,,,,,
674,52,Insert Deliverable,2019-09-11 23:23:17,2019,117,84,,,,,,Powerpoint,Other Low,Not Started,Q1,
675,52,Insert Learning Objective,2019-09-11 23:24:40,2019,118,,Research Paper,,Create,Metacognitive,,,,,,
676,52,Insert Deliverable,2019-09-11 23:25:10,2019,118,85,,,,,,Research Paper,Refereed journal manuscripts,Not Started,Q4,
677,52,Insert Learning Objective,2019-09-11 23:26:56,2019,119,,Public Speaking,,Apply,Procedural,,,,,,
678,52,Insert Deliverable,2019-09-11 23:27:46,2019,119,86,,,,,,Public Speaking,Other Low,Not Started,Q3,
679,67,Login,2019-09-11 22:36:21,2019,,,,,,,,,,,,
685,75,Login,2019-09-12 00:05:17,2019,,,,,,,,,,,,
686,62,Login,2019-09-12 00:41:36,2019,,,,,,,,,,,,
687,62,Login,2019-09-12 00:42:04,2019,,,,,,,,,,,,
688,62,Login,2019-09-12 00:55:12,2019,,,,,,,,,,,,
689,62,Logout,2019-09-12 00:55:44,2019,,,,,,,,,,,,
690,62,Login,2019-09-12 00:55:46,2019,,,,,,,,,,,,
691,40,Login,2019-09-12 04:42:12,2019,,,,,,,,,,,,
692,40,Login,2019-09-12 04:42:22,2019,,,,,,,,,,,,
693,40,Login,2019-09-12 04:58:55,2019,,,,,,,,,,,,
696,56,Login,2019-09-12 07:44:30,2019,,,,,,,,,,,,
697,56,Login,2019-09-12 07:44:47,2019,,,,,,,,,,,,
698,45,Login,2019-09-12 08:06:12,2019,,,,,,,,,,,,
699,45,Login,2019-09-12 08:06:18,2019,,,,,,,,,,,,
700,58,Login,2019-09-12 08:10:53,2019,,,,,,,,,,,,
701,58,Login,2019-09-12 08:11:03,2019,,,,,,,,,,,,
702,56,Insert Learning Objective,2019-09-12 09:15:42,2019,120,,Understand the Cardiovascular System,DSK2,Understand,Conceptual,,,,,,
703,56,Insert Deliverable,2019-09-12 09:17:08,2019,120,87,,,,,,Understand the Cardiovascular System,Other Low,In progress,Q1,
704,56,Logout,2019-09-12 08:17:19,2019,,,,,,,,,,,,
705,71,Login,2019-09-12 08:21:15,2019,,,,,,,,,,,,
706,33,Login,2019-09-12 08:29:59,2019,,,,,,,,,,,,
707,33,Login,2019-09-12 08:30:11,2019,,,,,,,,,,,,
708,45,Insert Learning Objective,2019-09-12 09:43:34,2019,121,,1st Draft of ECG Schematic,DSK3,Create,Factual,,,,,,
709,45,Insert Deliverable,2019-09-12 09:46:29,2019,121,88,,,,,,1st Draft of ECG Schematic,Other Low,In progress,Q1,
710,45,Update Deliverable,2019-09-12 09:47:05,2019,121,88,,,,,,1st Draft of ECG Schematic,Other Low,Completed,Q1,
711,45,Update Deliverable,2019-09-12 09:47:21,2019,121,88,,,,,,1st Draft of ECG Schematic,Other Low,In progress,Q1,
712,45,Insert Learning Objective,2019-09-12 09:54:34,2019,122,,Design ECG Front-End Schematic,DSK3,Create,Conceptual,,,,,,
713,45,Insert Deliverable,2019-09-12 09:55:39,2019,122,89,,,,,,Design ECG Front-End Schematic,Providing expertise to other research groups in the laboratory environment (documented),Not Started,Q2,
714,45,Update Deliverable,2019-09-12 09:56:41,2019,122,89,,,,,,Design ECG Front-End Schematic,Other Med,Not Started,Q2,
715,46,Login,2019-09-12 09:06:03,2019,,,,,,,,,,,,
716,46,Login,2019-09-12 09:06:47,2019,,,,,,,,,,,,
717,45,Insert Learning Objective,2019-09-12 10:07:35,2019,123,,PCB Layout,DSK1,Create,Conceptual,,,,,,
718,45,Insert Deliverable,2019-09-12 10:11:34,2019,123,90,,,,,,PCB Layout,Other Med,Not Started,Q2,
719,45,Insert Learning Objective,2019-09-12 10:20:48,2019,124,,Develop ECG Biometric Product (Team),ES5,Create,Metacognitive,,,,,,
720,45,Insert Deliverable,2019-09-12 10:22:12,2019,124,91,,,,,,Develop ECG Biometric Product (Team),Referred conferences,In progress,Q4,
721,45,Update Learning Objective,2019-09-12 10:22:52,2019,121,,1st Draft of ECG Schematic,DSK3,Analyze,Factual,I am going to design the first rough draft of the ECG schematic by the end of Q1.,,,,,
722,45,Update Deliverable,2019-09-12 10:23:52,2019,123,90,,,,,,PCB Layout,Other Med,Not Started,Q3,
723,45,Insert Learning Objective,2019-09-12 10:33:29,2019,125,,Long-Distance Communication & Collaboration,DSK3,Analyze,Conceptual,,,,,,
724,45,Insert Deliverable,2019-09-12 10:34:39,2019,125,92,,,,,,Long-Distance Communication & Collaboration,Other Low,In progress,Q4,
725,40,Login,2019-09-12 09:47:11,2019,,,,,,,,,,,,
726,40,Login,2019-09-12 09:47:15,2019,,,,,,,,,,,,
727,40,Insert Learning Objective,2019-09-12 10:52:56,2019,126,,Team project,DSK2,Understand,Factual,,,,,,
728,40,Update Learning Objective,2019-09-12 10:53:32,2019,126,,Team project,FR2,Understand,Factual,Learning what parameters are needed for our project  search for  What kind of work is already done and what can we add to improve it.,,,,,
729,40,Insert Learning Objective,2019-09-12 10:56:36,2019,127,,My role,DSK2,Understand,Factual,,,,,,
730,40,Insert Learning Objective,2019-09-12 10:57:45,2019,128,,What should i learn from class,DSK1,Understand,Conceptual,,,,,,
731,40,Insert Learning Objective,2019-09-12 11:00:02,2019,129,,Present the abstract at symposium,DSK2,Create,Metacognitive,,,,,,
732,40,Insert Learning Objective,2019-09-12 11:01:47,2019,130,,Team project,MR4,Analyze,Procedural,,,,,,
733,40,Insert Deliverable,2019-09-12 11:03:35,2019,126,93,,,,,,Team project,In-class Survey,In progress,Q1,
734,40,Insert Deliverable,2019-09-12 11:04:46,2019,127,94,,,,,,My role,Homework,Not Started,Q1,
735,40,Update Learning Objective,2019-09-12 11:05:03,2019,127,,My role,DSK2,Understand,Factual,Looking for methods that allow data collected from sensors and ways to transmit effectively.,,,,,
736,40,Insert Deliverable,2019-09-12 11:05:49,2019,127,95,,,,,,My role,Other Low,In progress,Q1,
737,40,Delete Deliverable,2019-09-12 11:06:06,2019,127,94,,,,,,,,,,
738,40,Insert Deliverable,2019-09-12 11:08:01,2019,128,96,,,,,,What should i learn from class,Homework,Not Started,Q1,
739,40,Insert Deliverable,2019-09-12 11:08:47,2019,129,97,,,,,,Present the abstract at symposium,non-refereed conferences,Not Started,Q1,
740,40,Insert Deliverable,2019-09-12 11:09:29,2019,130,98,,,,,,Team project,Review of others evidence,Not Started,Q1,
741,58,Insert Learning Objective,2019-09-12 11:16:31,2019,131,,Group Project,RM6,Create,Conceptual,,,,,,
742,43,Login,2019-09-12 10:17:14,2019,,,,,,,,,,,,
743,77,Login,2019-09-12 10:17:51,2019,,,,,,,,,,,,
744,67,Login,2019-09-12 10:19:32,2019,,,,,,,,,,,,
745,58,Insert Learning Objective,2019-09-12 11:20:32,2019,132,,Submitting an Abstract to NDSU BME symposium,PC1,Apply,Metacognitive,,,,,,
746,58,Insert Deliverable,2019-09-12 11:21:17,2019,132,99,,,,,,Conference abstract,Referred conferences,In progress,Q1,
747,67,Insert Learning Objective,2019-09-12 11:24:28,2019,133,,BME Symposium,DSK2,Analyze,Conceptual,Gain an understanding of how we can contribute in the field and present at the BME symposium to look for recommendations,,,,,
748,67,Insert Deliverable,2019-09-12 11:25:51,2019,133,100,,,,,,BME Symposium,Referred conferences,In progress,Q1,
749,58,Insert Learning Objective,2019-09-12 11:26:12,2019,134,,Literature search,DSK2,Understand,Factual,,,,,,
